company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
3966130-3,United Associates,2022-12-01,"House 246, Street 6, Jaranwala Road, Faisalabad",IT Services,Active,500000000
2286893-9,Star Traders,2013-02-22,"House 835, Street 44, Cantt, Lahore",Pharmaceuticals,Active,50000000
5549410-0,Global Enterprises,2009-11-12,"House 762, Street 34, Peoples Colony, Gujranwala",Trading,Active,50000000
1674676-7,United (Pvt) Ltd,2008-08-03,"House 367, Street 8, Gulshan-e-Iqbal, Karachi",Trading,Active,50000000
9566858-8,Global International,2018-06-06,"House 334, Street 52, DC Colony, Gujranwala",Construction,Active,500000000
4922257-7,Crescent Industries,2015-12-25,"House 359, Street 23, Jaranwala Road, Faisalabad",IT Services,Active,50000000
7693563-3,Capital Builders,2018-08-22,"House 47, Street 32, Model Town, Lahore",IT Services,Active,50000000
4402104-7,Crescent Holdings,2019-02-25,"House 356, Street 51, Hayatabad, Peshawar",Real Estate,Active,50000000
2514429-1,Apex (Pvt) Ltd,2023-03-17,"House 269, Street 20, Satellite Town, Gujranwala",Real Estate,Active,50000000
3098434-1,Crescent Holdings,2017-09-26,"House 751, Street 46, Madina Town, Faisalabad",Pharmaceuticals,Active,50000000
5032162-1,Allied Traders,2022-01-16,"House 493, Street 6, Cantt, Sialkot",Pharmaceuticals,Active,50000000
6656961-4,Royal Industries,2012-03-21,"House 530, Street 24, Hayatabad, Peshawar",Pharmaceuticals,Active,50000000
4007188-0,Summit Traders,2021-08-18,"House 69, Street 53, Bahria Town, Rawalpindi",Textile,Active,500000000
2102792-7,Summit Holdings,2012-03-31,"House 508, Street 52, Model Town, Multan",Textile,Active,50000000
2594127-8,Allied Traders,2014-04-10,"House 803, Street 51, Model Town, Multan",Textile,Active,500000000
9914394-6,United (Pvt) Ltd,2010-02-15,"House 154, Street 1, Clifton, Karachi",Trading,Active,50000000
4632310-0,Star Builders,2017-02-09,"House 724, Street 47, F-10, Islamabad",Textile,Active,500000000
1793418-7,Allied International,2009-04-02,"House 940, Street 54, Gulberg III, Lahore",IT Services,Active,50000000
6871909-4,Allied Industries,2013-06-24,"House 69, Street 3, Gulgasht Colony, Multan",IT Services,Active,50000000
3965545-3,Allied Associates,2012-09-01,"House 311, Street 16, North Nazimabad, Karachi",Logistics,Active,500000000
6499096-8,Royal Holdings,2023-01-24,"House 393, Street 23, Gulberg III, Lahore",Import/Export,Active,500000000
2257754-8,Royal Industries,2012-01-31,"House 431, Street 39, Cantt, Lahore",Real Estate,Active,50000000
6475043-9,Metro Builders,2021-10-21,"House 482, Street 45, DHA-II, Islamabad",Import/Export,Active,50000000
3781281-6,United Holdings,2018-04-05,"House 954, Street 57, PECHS, Karachi",Textile,Active,50000000
5207534-0,Apex (Pvt) Ltd,2008-03-11,"House 643, Street 17, Clifton, Karachi",Pharmaceuticals,Active,50000000
5240720-4,United Traders,2013-02-24,"House 13, Street 15, Bahadurabad, Karachi",Import/Export,Active,50000000
6745878-9,United Enterprises,2012-05-25,"House 600, Street 44, North Nazimabad, Karachi",Construction,Active,50000000
6298080-5,Metro International,2022-04-10,"House 765, Street 16, Gulgasht Colony, Multan",Import/Export,Active,500000000
2442393-9,Summit Associates,2018-10-24,"House 528, Street 43, Model Town, Gujranwala",Logistics,Active,50000000
5756115-1,Metro Associates,2022-07-21,"House 150, Street 37, North Nazimabad, Karachi",Logistics,Active,500000000
3572699-6,Apex Builders,2016-06-15,"House 764, Street 7, Bahria Town, Rawalpindi",Construction,Active,50000000
1688211-0,Royal Enterprises,2019-05-27,"House 70, Street 25, Bahria Town, Lahore",Pharmaceuticals,Active,50000000
8014329-9,Star Associates,2011-02-12,"House 878, Street 54, Gulgasht Colony, Multan",IT Services,Active,50000000
2269596-7,Apex Holdings,2011-05-11,"House 567, Street 30, Peoples Colony, Gujranwala",Food & Beverage,Active,500000000
6476354-1,Global Industries,2021-08-06,"House 533, Street 4, Bahria Town, Rawalpindi",Food & Beverage,Active,50000000
5687609-9,Star Holdings,2010-05-06,"House 616, Street 49, North Nazimabad, Karachi",Import/Export,Active,50000000
3694298-8,Global (Pvt) Ltd,2017-11-05,"House 434, Street 45, D Ground, Faisalabad",Real Estate,Active,50000000
9306874-9,Pak International,2015-09-30,"House 597, Street 12, Gulbahar, Peshawar",Textile,Active,50000000
8582345-8,United Traders,2009-05-29,"House 108, Street 33, Model Town, Gujranwala",IT Services,Active,50000000
3878650-7,Pak International,2017-01-08,"House 756, Street 4, DHA-I, Rawalpindi",IT Services,Active,500000000
1212787-0,United Industries,2015-02-07,"House 77, Street 51, F-7, Islamabad",Real Estate,Active,500000000
9350265-9,Pak Builders,2015-09-09,"House 510, Street 60, DHA Phase 5, Lahore",Real Estate,Active,50000000
6814042-0,Global Builders,2020-01-01,"House 547, Street 27, Kashmir Road, Sialkot",Textile,Active,50000000
2234273-6,Star Builders,2019-03-18,"House 459, Street 47, Bahria Town, Rawalpindi",IT Services,Active,50000000
3770405-6,Metro Builders,2010-05-14,"House 218, Street 1, Cantt, Lahore",Import/Export,Active,500000000
6043903-6,Allied Associates,2020-02-26,"House 538, Street 50, Paris Road, Sialkot",Food & Beverage,Active,500000000
4151923-9,United Builders,2012-06-09,"House 46, Street 34, Gulgasht Colony, Multan",Pharmaceuticals,Active,500000000
9211391-1,Premier Traders,2019-07-23,"House 273, Street 24, Bahadurabad, Karachi",IT Services,Active,500000000
8423768-1,United Industries,2013-05-19,"House 25, Street 54, Cantt, Peshawar",Food & Beverage,Active,50000000
2044573-2,Royal Industries,2012-03-03,"House 840, Street 30, Clifton, Karachi",Logistics,Active,500000000
9346329-2,Star Enterprises,2021-02-17,"House 187, Street 18, Johar Town, Lahore",Trading,Active,500000000
8618424-1,Metro Associates,2017-02-05,"House 856, Street 26, Gulberg III, Lahore",Trading,Active,50000000
4514748-3,Premier Associates,2008-12-24,"House 439, Street 54, Chaklala Scheme 3, Rawalpindi",Pharmaceuticals,Active,50000000
8157847-5,Star Enterprises,2023-01-19,"House 820, Street 30, Cantt, Peshawar",Food & Beverage,Active,50000000
2187649-8,United Associates,2020-07-14,"House 612, Street 30, Model Town, Gujranwala",Real Estate,Active,500000000
1796980-0,Apex Associates,2010-06-21,"House 305, Street 34, DHA Phase 5, Lahore",Real Estate,Active,50000000
6939838-8,Apex Industries,2014-08-18,"House 83, Street 3, DHA-I, Rawalpindi",Trading,Active,50000000
1794454-9,Pak Holdings,2018-01-30,"House 423, Street 47, Jaranwala Road, Faisalabad",IT Services,Active,50000000
2504603-9,Capital Traders,2023-04-07,"House 78, Street 46, Bahria Town, Rawalpindi",Trading,Active,50000000
6072773-7,Royal Industries,2016-06-20,"House 284, Street 50, Bahria Town, Rawalpindi",Textile,Active,500000000
7045844-2,Pak (Pvt) Ltd,2012-10-29,"House 424, Street 24, Kashmir Road, Sialkot",Textile,Active,50000000
3150855-2,Allied Holdings,2009-01-05,"House 431, Street 1, Paris Road, Sialkot",Construction,Active,50000000
6489375-5,Apex Holdings,2011-07-08,"House 38, Street 34, Satellite Town, Rawalpindi",Textile,Active,500000000
9932230-1,Global International,2011-06-24,"House 286, Street 46, Bahadurabad, Karachi",Trading,Active,50000000
6093819-6,Allied Associates,2009-10-31,"House 108, Street 16, North Nazimabad, Karachi",Pharmaceuticals,Active,500000000
4312772-6,Metro Builders,2008-12-11,"House 754, Street 27, Satellite Town, Rawalpindi",Textile,Active,50000000
7353350-3,Star Industries,2022-04-01,"House 25, Street 45, Bahria Town, Rawalpindi",Real Estate,Active,50000000
8030002-8,Capital Traders,2021-09-12,"House 867, Street 46, Clifton, Karachi",Trading,Active,50000000
3834067-4,Capital Associates,2009-09-06,"House 86, Street 44, Satellite Town, Gujranwala",Pharmaceuticals,Active,50000000
7848977-2,Star Associates,2017-09-27,"House 714, Street 30, G-11, Islamabad",Trading,Active,50000000
1127080-5,Crescent Associates,2014-09-30,"House 176, Street 52, DHA-I, Rawalpindi",Real Estate,Active,50000000
2058442-1,Metro Holdings,2008-07-04,"House 296, Street 44, DHA Phase 6, Karachi",Import/Export,Active,500000000
5846129-9,Metro (Pvt) Ltd,2018-01-19,"House 832, Street 26, PECHS, Karachi",Import/Export,Active,50000000
4109036-3,Capital International,2023-11-08,"House 386, Street 1, Shah Rukn-e-Alam, Multan",Pharmaceuticals,Active,50000000
1928448-2,Capital International,2008-03-09,"House 726, Street 19, Wapda Town, Lahore",Textile,Active,500000000
7485017-5,Apex Holdings,2017-09-03,"House 626, Street 43, Johar Town, Lahore",Pharmaceuticals,Active,50000000
7087685-1,Pak Holdings,2008-05-21,"House 77, Street 35, Jaranwala Road, Faisalabad",Food & Beverage,Active,50000000
5520369-4,United International,2017-08-25,"House 514, Street 40, Bahria Town, Islamabad",IT Services,Active,50000000
6779629-6,Capital International,2014-06-10,"House 279, Street 54, Bahadurabad, Karachi",IT Services,Active,50000000
2843305-5,Premier International,2008-11-21,"House 255, Street 46, Gulshan-e-Iqbal, Karachi",Food & Beverage,Active,500000000
1139575-9,Metro Industries,2009-05-11,"House 34, Street 10, Johar Town, Lahore",Pharmaceuticals,Active,50000000
9753793-3,Metro Industries,2021-10-14,"House 956, Street 20, Model Town, Sialkot",Logistics,Active,500000000
6671767-8,Capital Industries,2015-10-03,"House 632, Street 34, DHA-I, Rawalpindi",IT Services,Active,50000000
6438363-3,Apex (Pvt) Ltd,2009-05-16,"House 724, Street 51, Bahria Town, Islamabad",Textile,Active,50000000
7827631-2,Metro Enterprises,2018-12-19,"House 138, Street 42, Cantt, Multan",IT Services,Active,50000000
7937059-7,Capital Enterprises,2009-01-31,"House 421, Street 19, Cantt, Multan",Food & Beverage,Active,50000000
8855985-9,Star (Pvt) Ltd,2009-11-16,"House 504, Street 2, Kashmir Road, Sialkot",Textile,Active,50000000
4365575-7,United Industries,2013-08-18,"House 319, Street 22, F-7, Islamabad",Real Estate,Active,500000000
3611163-3,Summit Holdings,2021-11-03,"House 294, Street 28, Cantt, Multan",Food & Beverage,Active,50000000
5063452-6,Premier Holdings,2022-05-16,"House 623, Street 2, Bahadurabad, Karachi",Import/Export,Active,50000000
8718058-2,Pak Traders,2019-12-28,"House 683, Street 7, Paris Road, Sialkot",Trading,Active,500000000
5185330-4,Allied (Pvt) Ltd,2011-01-26,"House 546, Street 41, Peoples Colony, Faisalabad",Food & Beverage,Active,50000000
5597245-3,Pak Associates,2019-04-29,"House 416, Street 39, Peoples Colony, Faisalabad",Pharmaceuticals,Active,500000000
9756778-4,United Builders,2023-05-25,"House 619, Street 57, DHA Phase 6, Karachi",Logistics,Active,50000000
5461112-1,Allied International,2017-09-21,"House 511, Street 2, Satellite Town, Gujranwala",Logistics,Active,50000000
3367812-0,Premier Industries,2017-12-07,"House 37, Street 17, Satellite Town, Gujranwala",Trading,Active,50000000
6550694-3,Global Enterprises,2023-09-12,"House 784, Street 40, Westridge, Rawalpindi",Food & Beverage,Active,500000000
3062905-6,Global International,2009-11-02,"House 777, Street 53, Bahria Town, Rawalpindi",Logistics,Active,500000000
9104194-7,Global Associates,2016-06-05,"House 972, Street 48, Satellite Town, Rawalpindi",Pharmaceuticals,Active,50000000
9743011-6,Pak Builders,2014-01-15,"House 545, Street 28, Gulbahar, Peshawar",Trading,Active,500000000
8807568-9,Allied Traders,2008-08-21,"House 670, Street 59, Shah Rukn-e-Alam, Multan",Import/Export,Active,50000000
5989475-9,Pak Traders,2019-07-24,"House 336, Street 37, Model Town, Multan",Pharmaceuticals,Active,50000000
6750983-4,Apex Builders,2012-05-08,"House 389, Street 44, Kashmir Road, Sialkot",Construction,Active,50000000
6725898-4,Capital Builders,2022-11-22,"House 985, Street 20, I-8, Islamabad",Textile,Active,50000000
1121801-3,United International,2008-08-22,"House 545, Street 26, G-10, Islamabad",Trading,Active,500000000
1150855-6,Apex Associates,2011-07-11,"House 487, Street 4, Hayatabad, Peshawar",Trading,Active,50000000
5062043-9,Apex Traders,2022-09-07,"House 787, Street 45, Paris Road, Sialkot",Trading,Active,50000000
6524187-3,Allied Traders,2016-02-12,"House 519, Street 38, North Nazimabad, Karachi",Construction,Active,500000000
7206498-5,Pak (Pvt) Ltd,2023-05-18,"House 39, Street 2, F-10, Islamabad",IT Services,Active,50000000
2196011-4,Summit Holdings,2021-09-05,"House 27, Street 34, Cantt, Lahore",Real Estate,Active,500000000
7417399-1,Metro Holdings,2011-09-02,"House 157, Street 27, Bahadurabad, Karachi",Food & Beverage,Active,50000000
6691887-8,Pak Traders,2018-09-02,"House 258, Street 5, Clifton, Karachi",Pharmaceuticals,Active,50000000
4765421-0,Pak Holdings,2019-07-16,"House 806, Street 42, Cantt, Multan",Textile,Active,50000000
2865526-9,Royal Enterprises,2014-11-21,"House 967, Street 17, Cantt, Peshawar",Real Estate,Active,50000000
2437710-8,Summit Associates,2022-07-12,"House 461, Street 13, DHA Phase 6, Karachi",Logistics,Active,50000000
9642300-3,Global Enterprises,2023-09-20,"House 767, Street 5, Gulgasht Colony, Multan",IT Services,Active,50000000
1986831-8,Crescent Enterprises,2012-10-27,"House 196, Street 43, University Town, Peshawar",Trading,Active,50000000
7191681-8,Crescent Industries,2008-03-10,"House 325, Street 41, G-10, Islamabad",Trading,Active,500000000
1834257-6,Global Builders,2016-04-26,"House 609, Street 54, Gulberg III, Lahore",Food & Beverage,Active,500000000
8560917-2,Royal Traders,2022-04-28,"House 262, Street 39, G-10, Islamabad",Textile,Active,500000000
9471873-3,Metro Industries,2009-03-05,"House 799, Street 5, Gulgasht Colony, Multan",Import/Export,Active,50000000
2585685-3,Apex Traders,2013-07-19,"House 947, Street 2, F-8, Islamabad",Food & Beverage,Active,50000000
2534895-9,Allied International,2012-06-02,"House 865, Street 33, Model Town, Multan",Pharmaceuticals,Active,500000000
5593926-5,Premier Builders,2019-09-20,"House 124, Street 8, DHA Phase 6, Karachi",Trading,Active,50000000
9567495-9,Metro International,2017-07-25,"House 75, Street 19, Cantt, Peshawar",Real Estate,Active,50000000
4319783-3,Pak Traders,2022-04-05,"House 292, Street 6, Kashmir Road, Sialkot",Food & Beverage,Active,50000000
7206014-3,Apex International,2022-08-21,"House 29, Street 33, D Ground, Faisalabad",Food & Beverage,Active,50000000
9218518-3,Summit Enterprises,2010-08-01,"House 271, Street 29, Madina Town, Faisalabad",Food & Beverage,Active,50000000
2065689-5,Capital Builders,2020-12-28,"House 115, Street 56, DHA Phase 5, Lahore",Food & Beverage,Active,50000000
8756496-9,Allied Holdings,2008-03-12,"House 263, Street 24, Model Town, Lahore",Import/Export,Active,50000000
4433861-9,Pak Holdings,2013-08-09,"House 496, Street 9, I-8, Islamabad",Construction,Active,50000000
2729564-1,Crescent Traders,2009-01-18,"House 13, Street 54, Peoples Colony, Gujranwala",Construction,Active,50000000
9778339-3,United Enterprises,2017-05-02,"House 139, Street 3, Bahadurabad, Karachi",Construction,Active,50000000
9388871-0,Allied International,2008-11-05,"House 806, Street 60, Gulshan-e-Iqbal, Karachi",IT Services,Active,50000000
2279699-6,Summit Associates,2021-06-04,"House 854, Street 45, Cantt, Peshawar",Pharmaceuticals,Active,500000000
7605522-4,Pak Traders,2019-02-02,"House 692, Street 40, Cantt, Peshawar",Import/Export,Active,50000000
9799817-9,Capital Associates,2009-07-27,"House 555, Street 41, Cantt, Peshawar",Textile,Active,50000000
6184098-1,Metro Associates,2011-11-24,"House 269, Street 57, Model Town, Gujranwala",Logistics,Active,50000000
1173263-9,Capital Holdings,2014-12-02,"House 650, Street 22, G-9, Islamabad",IT Services,Active,50000000
2794584-8,Premier Builders,2015-12-12,"House 984, Street 28, Bahria Town, Lahore",Construction,Active,50000000
4209518-3,Metro International,2020-01-05,"House 845, Street 46, F-7, Islamabad",Trading,Active,500000000
2911938-2,Crescent Traders,2015-04-19,"House 773, Street 12, D Ground, Faisalabad",Pharmaceuticals,Active,50000000
7961411-0,Crescent Enterprises,2015-03-28,"House 782, Street 13, Model Town, Multan",Pharmaceuticals,Active,500000000
6675176-5,Metro Holdings,2019-09-20,"House 216, Street 59, Johar Town, Lahore",Trading,Active,50000000
2363628-9,Apex International,2014-09-08,"House 88, Street 46, F-7, Islamabad",Logistics,Active,50000000
2191557-4,United Industries,2022-04-28,"House 580, Street 25, DHA-II, Islamabad",IT Services,Active,50000000
8948886-7,United Holdings,2010-03-24,"House 435, Street 6, Westridge, Rawalpindi",IT Services,Active,500000000
9237482-6,Metro International,2018-01-06,"House 50, Street 48, Hayatabad, Peshawar",Textile,Active,50000000
6802105-4,Apex Enterprises,2014-07-01,"House 187, Street 54, G-9, Islamabad",Trading,Active,50000000
3304167-6,Crescent Enterprises,2013-09-23,"House 484, Street 43, Satellite Town, Gujranwala",Import/Export,Active,50000000
8978669-7,Capital Associates,2017-03-03,"House 968, Street 33, D Ground, Faisalabad",Food & Beverage,Active,50000000
1021180-1,Star International,2015-01-16,"House 551, Street 60, Madina Town, Faisalabad",Logistics,Active,50000000
7676204-9,Metro Builders,2009-12-05,"House 911, Street 35, Bahria Town, Rawalpindi",Food & Beverage,Active,500000000
2375019-2,Capital Associates,2010-08-26,"House 638, Street 17, Satellite Town, Rawalpindi",Construction,Active,500000000
6309537-3,Capital International,2018-01-06,"House 45, Street 47, Model Town, Gujranwala",Logistics,Active,50000000
6713351-9,Metro International,2021-04-19,"House 738, Street 10, Kashmir Road, Sialkot",IT Services,Active,50000000
1203435-0,Summit Associates,2016-10-09,"House 634, Street 30, Cantt, Multan",IT Services,Active,50000000
8512711-5,Crescent Holdings,2014-04-02,"House 782, Street 55, Jaranwala Road, Faisalabad",Logistics,Active,50000000
8850288-6,Star Holdings,2013-04-13,"House 215, Street 18, Peoples Colony, Gujranwala",Logistics,Active,50000000
9312313-8,Crescent Enterprises,2012-01-19,"House 588, Street 39, Peoples Colony, Gujranwala",Construction,Active,50000000
2138586-6,Pak International,2013-04-11,"House 973, Street 46, G-10, Islamabad",IT Services,Active,50000000
5404285-2,Premier (Pvt) Ltd,2021-03-31,"House 45, Street 53, Model Town, Lahore",Real Estate,Active,500000000
2830149-4,Summit Traders,2012-02-19,"House 103, Street 49, Bahria Town, Lahore",Real Estate,Active,50000000
7148246-2,Royal Enterprises,2021-09-30,"House 320, Street 9, Bahadurabad, Karachi",Construction,Active,50000000
9727522-6,Summit Traders,2021-12-02,"House 935, Street 33, Gulgasht Colony, Multan",Logistics,Active,50000000
9630228-1,Global International,2013-08-30,"House 665, Street 46, Hayatabad, Peshawar",IT Services,Active,50000000
8717226-2,Metro Industries,2009-04-18,"House 106, Street 3, D Ground, Faisalabad",Construction,Active,500000000
2828007-9,Crescent (Pvt) Ltd,2022-04-12,"House 306, Street 34, Hayatabad, Peshawar",Logistics,Active,50000000
8915257-4,United (Pvt) Ltd,2014-06-02,"House 372, Street 47, Clifton, Karachi",Trading,Active,500000000
9467911-5,Metro Traders,2021-11-26,"House 332, Street 52, Cantt, Multan",Food & Beverage,Active,500000000
8588132-8,Pak Holdings,2020-09-27,"House 291, Street 59, Peoples Colony, Faisalabad",Construction,Active,50000000
8015058-3,Premier Enterprises,2015-08-11,"House 770, Street 28, Model Town, Multan",Logistics,Active,50000000
9374478-8,Royal Enterprises,2009-05-21,"House 739, Street 38, Clifton, Karachi",Food & Beverage,Active,500000000
2656531-3,Global Builders,2017-06-04,"House 346, Street 33, Gulgasht Colony, Multan",Construction,Active,500000000
1675920-8,Capital Associates,2012-09-18,"House 55, Street 7, G-9, Islamabad",Construction,Active,50000000
9861515-7,Crescent (Pvt) Ltd,2015-07-15,"House 468, Street 25, Gulgasht Colony, Multan",Pharmaceuticals,Active,50000000
3654460-3,Pak (Pvt) Ltd,2016-06-27,"House 610, Street 20, Hayatabad, Peshawar",Real Estate,Active,50000000
5060446-9,Capital (Pvt) Ltd,2016-10-28,"House 1, Street 44, Gulshan-e-Iqbal, Karachi",Pharmaceuticals,Active,50000000
4526052-1,Metro Builders,2019-09-08,"House 376, Street 53, Satellite Town, Gujranwala",Import/Export,Active,500000000
6205047-5,Allied Enterprises,2019-08-09,"House 139, Street 50, Bahria Town, Islamabad",Logistics,Active,50000000
1996673-6,Metro Holdings,2021-05-22,"House 927, Street 17, Bahadurabad, Karachi",Trading,Active,50000000
7255420-5,Capital International,2015-07-11,"House 157, Street 9, Gulberg III, Lahore",Pharmaceuticals,Active,500000000
2509096-5,Apex Associates,2021-05-31,"House 371, Street 56, Hayatabad, Peshawar",Food & Beverage,Active,50000000
5860607-7,Crescent Holdings,2012-01-24,"House 263, Street 36, DHA-II, Islamabad",Trading,Active,50000000
1124829-6,Royal Builders,2020-04-04,"House 150, Street 24, Cantt, Multan",Textile,Active,50000000
3970096-9,Global Industries,2020-01-31,"House 377, Street 6, Wapda Town, Lahore",Textile,Active,50000000
1932216-8,Star Industries,2021-03-25,"House 701, Street 43, Johar Town, Lahore",Food & Beverage,Active,50000000
1422295-6,Crescent (Pvt) Ltd,2016-07-05,"House 50, Street 11, F-10, Islamabad",Logistics,Active,50000000
4519154-1,Star Builders,2019-04-03,"House 430, Street 4, Peoples Colony, Faisalabad",Construction,Active,500000000
1451134-6,Metro Associates,2016-10-21,"House 875, Street 38, DHA Phase 5, Lahore",Real Estate,Active,50000000
6100301-3,Star Builders,2021-12-19,"House 409, Street 47, Peoples Colony, Faisalabad",Food & Beverage,Active,50000000
2721469-4,Premier Industries,2019-03-30,"House 134, Street 22, Bahria Town, Rawalpindi",Pharmaceuticals,Active,500000000
2184367-3,Apex Enterprises,2009-07-06,"House 880, Street 47, Peoples Colony, Gujranwala",Trading,Active,50000000
2494166-3,Global (Pvt) Ltd,2019-05-01,"House 539, Street 59, PECHS, Karachi",Real Estate,Active,50000000
5574667-1,Royal Industries,2014-03-22,"House 167, Street 24, Shah Rukn-e-Alam, Multan",Pharmaceuticals,Active,50000000
8546561-3,Pak Traders,2009-09-14,"House 964, Street 25, Cantt, Sialkot",Logistics,Active,500000000
4428438-8,Royal Builders,2013-08-11,"House 854, Street 51, F-7, Islamabad",Textile,Active,50000000
7776250-6,United Builders,2010-05-27,"House 615, Street 47, G-11, Islamabad",IT Services,Active,50000000
7326984-8,Metro Builders,2018-09-30,"House 189, Street 6, Gulbahar, Peshawar",Construction,Active,50000000
2543993-0,Summit Associates,2010-12-30,"House 383, Street 16, Wapda Town, Lahore",Construction,Active,500000000
6488911-9,Metro Holdings,2019-01-22,"House 479, Street 6, Cantt, Peshawar",Import/Export,Active,50000000
4262576-3,Summit International,2020-12-26,"House 344, Street 19, Cantt, Lahore",Logistics,Active,50000000
6203631-6,Pak International,2013-09-24,"House 337, Street 53, Model Town, Lahore",Real Estate,Active,50000000
8688616-2,Summit Associates,2016-05-03,"House 966, Street 9, Johar Town, Lahore",Import/Export,Active,50000000
5453199-6,Global Holdings,2019-07-01,"House 437, Street 27, I-8, Islamabad",Construction,Active,500000000
8794502-4,Allied Enterprises,2023-04-22,"House 708, Street 8, University Town, Peshawar",Logistics,Active,500000000
1668769-2,Metro Holdings,2022-06-16,"House 895, Street 57, Peoples Colony, Gujranwala",IT Services,Active,50000000
6788977-9,Global Industries,2011-10-08,"House 943, Street 30, Clifton, Karachi",Food & Beverage,Active,500000000
4656825-1,Star Enterprises,2016-02-04,"House 240, Street 25, Paris Road, Sialkot",Pharmaceuticals,Active,50000000
4556060-6,Pak Builders,2012-11-15,"House 569, Street 31, University Town, Peshawar",Trading,Active,50000000
8788590-0,Royal Holdings,2017-01-13,"House 959, Street 54, Jaranwala Road, Faisalabad",Textile,Active,50000000
2361094-4,Apex Industries,2009-09-07,"House 524, Street 51, Cantt, Multan",Real Estate,Active,50000000
6049034-4,Pak International,2016-10-17,"House 81, Street 22, PECHS, Karachi",IT Services,Active,50000000
9410494-7,Crescent Industries,2010-07-11,"House 221, Street 56, Cantt, Sialkot",Trading,Active,500000000
3077125-2,Crescent Holdings,2011-05-21,"House 732, Street 39, Kashmir Road, Sialkot",Logistics,Active,50000000
9796094-0,Apex Enterprises,2015-04-21,"House 878, Street 20, Cantt, Multan",Textile,Active,50000000
3517281-9,Crescent Holdings,2019-02-27,"House 715, Street 52, Cantt, Lahore",Trading,Active,50000000
3594164-4,Royal Holdings,2013-03-15,"House 22, Street 51, Model Town, Sialkot",Pharmaceuticals,Active,50000000
1129864-5,Allied (Pvt) Ltd,2018-03-25,"House 847, Street 18, Clifton, Karachi",Pharmaceuticals,Active,50000000
5221342-7,Summit Builders,2020-02-01,"House 131, Street 32, Cantt, Sialkot",Real Estate,Active,50000000
8663132-6,Apex Traders,2018-06-08,"House 17, Street 33, Model Town, Multan",Food & Beverage,Active,500000000
5539474-4,Pak Enterprises,2010-08-28,"House 257, Street 29, Clifton, Karachi",Pharmaceuticals,Active,500000000
7169787-3,Summit Enterprises,2016-01-08,"House 246, Street 50, Bahadurabad, Karachi",Trading,Active,500000000
2201735-0,Premier Traders,2010-07-04,"House 45, Street 34, G-11, Islamabad",Food & Beverage,Active,50000000
6862384-6,Apex International,2012-07-09,"House 749, Street 37, Wapda Town, Lahore",Logistics,Active,50000000
5109590-0,Pak Industries,2020-09-22,"House 179, Street 41, Gulbahar, Peshawar",Pharmaceuticals,Active,500000000
9214366-5,Metro (Pvt) Ltd,2016-11-03,"House 70, Street 60, Satellite Town, Rawalpindi",IT Services,Active,50000000
9926413-6,Allied (Pvt) Ltd,2019-02-05,"House 395, Street 19, Cantt, Multan",Logistics,Active,50000000
1759205-5,Apex Traders,2021-08-02,"House 436, Street 31, Madina Town, Faisalabad",Construction,Active,50000000
6661806-4,Global Holdings,2013-08-24,"House 892, Street 58, Gulgasht Colony, Multan",Food & Beverage,Active,500000000
1526930-5,Capital Industries,2021-08-14,"House 66, Street 2, DHA-I, Rawalpindi",Logistics,Active,50000000
4321306-5,United (Pvt) Ltd,2020-03-29,"House 303, Street 31, Gulgasht Colony, Multan",Pharmaceuticals,Active,50000000
2947224-9,Metro Builders,2016-12-06,"House 9, Street 14, Gulgasht Colony, Multan",Import/Export,Active,50000000
3169907-9,Premier Traders,2008-03-24,"House 844, Street 36, Hayatabad, Peshawar",Food & Beverage,Active,50000000
6010708-8,Premier International,2013-10-12,"House 601, Street 11, Madina Town, Faisalabad",Textile,Active,50000000
1044962-3,Global Associates,2022-07-18,"House 248, Street 16, Hayatabad, Peshawar",Textile,Active,50000000
6663173-6,Pak (Pvt) Ltd,2011-03-25,"House 46, Street 34, Model Town, Gujranwala",Import/Export,Active,50000000
3518437-0,Crescent Holdings,2009-06-27,"House 890, Street 38, F-6, Islamabad",Real Estate,Active,50000000
7915790-4,Crescent Builders,2016-11-14,"House 280, Street 11, Johar Town, Lahore",Pharmaceuticals,Active,500000000
2235853-2,Pak Industries,2008-04-29,"House 722, Street 17, Gulbahar, Peshawar",Import/Export,Active,50000000
3301787-6,Summit Builders,2023-02-04,"House 582, Street 40, Cantt, Sialkot",Import/Export,Active,500000000
1291102-1,Metro Associates,2019-05-04,"House 110, Street 3, DHA Phase 5, Lahore",Textile,Active,50000000
5190170-8,Metro Associates,2012-06-23,"House 736, Street 39, Cantt, Sialkot",Food & Beverage,Active,50000000
9026878-2,Premier Enterprises,2017-05-31,"House 450, Street 20, Paris Road, Sialkot",Textile,Active,500000000
7575154-7,Premier (Pvt) Ltd,2013-12-09,"House 49, Street 11, Cantt, Sialkot",Construction,Active,500000000
7245106-4,Pak Industries,2019-11-08,"House 433, Street 3, DHA-II, Islamabad",Trading,Active,500000000
1437732-6,Metro International,2017-01-08,"House 211, Street 44, Clifton, Karachi",Food & Beverage,Active,50000000
3948080-8,Crescent Traders,2019-07-06,"House 24, Street 24, University Town, Peshawar",Logistics,Active,50000000
7823591-4,Metro International,2014-10-14,"House 658, Street 22, Peoples Colony, Gujranwala",IT Services,Active,500000000
